time_index;temperature;relativehumidity;pm25;pm10;numberofincoming;numberofoutgoing;co2;ocupacion
27/09/2021 10:00;27,34;49,74;11,88;13,00;68,00;88,00;594,85;0,00
27/09/2021 10:25;27,66;49,45;6,75;7,75;186,00;265,00;590,77;0,00
27/09/2021 10:30;27,94;49,70;5,38;6,38;354,00;492,00;578,66;0,00
27/09/2021 10:35;28,03;48,59;4,71;5,71;80,00;114,00;581,25;0,00
27/09/2021 10:40;28,09;48,43;3,62;4,62;467,00;642,00;586,75;0,00
27/09/2021 10:45;28,06;48,02;3,62;4,62;220,00;295,00;579,95;0,00
30/09/2021 11:40;25,93;51,06;29,75;31,75;1,00;0,00;609,86;1,00
30/09/2021 11:45;25,96;50,89;34,88;36,88;5,00;0,00;616,17;5,00
30/09/2021 11:50;25,99;50,76;37,14;39,14;5,00;0,00;617,56;5,00
30/09/2021 11:55;26,00;50,53;38,38;40,38;5,00;0,00;620,53;5,00
30/09/2021 12:00;26,00;50,60;38,50;40,50;5,00;0,00;623,75;5,00
30/09/2021 12:05;25,99;50,71;38,29;40,29;5,00;0,00;617,60;5,00
30/09/2021 12:10;26,05;50,71;37,62;39,62;11,00;0,00;610,68;11,00
30/09/2021 12:15;26,14;50,54;35,62;37,62;10,00;0,00;614,24;10,00
30/09/2021 12:20;26,17;50,54;34,00;36,00;10,00;0,00;614,41;10,00
30/09/2021 12:25;26,22;50,51;31,25;33,25;10,00;0,00;606,56;10,00
30/09/2021 12:30;26,17;50,56;28,00;30,00;10,00;0,00;602,53;10,00
30/09/2021 12:35;26,17;50,29;26,71;28,71;10,00;0,00;601,45;10,00
30/09/2021 12:40;26,18;50,25;24,50;25,88;10,00;0,00;596,29;10,00
30/09/2021 12:45;26,24;50,06;22,29;23,29;17,00;0,00;592,24;17,00
30/09/2021 12:50;26,24;49,63;20,12;21,12;15,00;0,00;587,46;15,00
30/09/2021 12:55;26,29;49,54;18,62;19,62;15,00;0,00;574,65;15,00
30/09/2021 13:00;26,29;49,42;16,71;17,71;15,00;0,00;565,94;15,00
30/09/2021 13:05;26,40;49,09;15,75;16,75;15,00;0,00;556,34;15,00
30/09/2021 13:10;26,33;49,34;14,12;15,12;15,00;0,00;545,61;15,00
30/09/2021 13:15;26,29;49,67;12,43;13,43;15,00;0,00;533,87;15,00
30/09/2021 13:20;26,27;49,90;11,50;12,50;15,00;0,00;522,42;15,00
30/09/2021 13:25;26,31;49,99;11,38;12,38;15,00;0,00;514,67;15,00
30/09/2021 13:30;26,31;50,12;10,71;11,71;15,00;0,00;508,22;15,00
30/09/2021 13:35;26,30;50,22;9,50;10,50;15,00;0,00;502,24;15,00
30/09/2021 13:40;26,34;50,20;8,75;9,75;15,00;0,00;498,58;15,00
30/09/2021 13:45;26,35;50,00;8,57;9,57;15,00;0,00;496,08;15,00
30/09/2021 13:50;26,33;49,75;8,25;9,25;15,00;0,00;495,34;15,00
30/09/2021 13:55;26,35;49,38;7,62;8,62;15,00;0,00;498,96;15,00
30/09/2021 14:00;26,40;48,87;7,14;8,14;23,00;0,00;502,80;23,00
30/09/2021 14:05;26,30;48,83;7,00;8,00;20,00;0,00;513,08;20,00
30/09/2021 14:10;25,72;48,97;6,71;7,71;20,00;0,00;517,01;20,00
30/09/2021 14:15;25,51;49,89;6,75;7,75;20,00;0,00;517,92;20,00
30/09/2021 14:20;25,50;50,41;6,25;7,25;20,00;0,00;527,30;20,00
30/09/2021 14:25;25,45;50,62;6,43;7,43;20,00;0,00;555,79;20,00
30/09/2021 14:30;25,37;50,75;6,50;7,50;41,00;0,00;561,94;41,00
30/09/2021 14:35;25,33;50,57;6,25;7,25;30,00;0,00;566,86;30,00
30/09/2021 14:40;25,23;50,54;6,43;7,43;6,00;0,00;567,48;6,00
30/09/2021 14:45;25,10;50,61;6,50;7,50;3,00;0,00;572,28;3,00
30/09/2021 14:50;24,98;50,61;5,75;6,75;5,00;0,00;571,06;5,00
30/09/2021 14:55;25,02;50,64;5,71;6,71;6,00;4,00;574,35;2,00
30/09/2021 15:00;24,91;50,84;5,50;6,50;5,00;5,00;576,98;0,00
30/09/2021 15:05;24,85;51,17;5,43;6,43;5,00;5,00;577,74;0,00
30/09/2021 15:10;24,81;51,12;5,88;6,88;11,00;6,00;576,60;5,00
30/09/2021 15:15;24,73;51,06;5,50;6,50;10,00;5,00;580,26;5,00
30/09/2021 15:20;24,71;50,92;5,14;6,14;12,00;5,00;585,12;7,00
30/09/2021 15:25;24,71;50,61;5,00;6,00;15,00;5,00;585,79;10,00
30/09/2021 15:30;24,58;50,81;5,00;6,00;15,00;5,00;580,01;10,00
30/09/2021 15:35;24,49;51,14;5,00;6,00;15,00;5,00;577,36;10,00
30/09/2021 15:40;24,42;51,28;5,38;6,38;15,00;5,00;576,44;10,00
30/09/2021 15:45;24,40;51,30;5,00;6,00;23,00;6,00;568,42;17,00
30/09/2021 15:50;24,33;51,45;4,86;5,86;20,00;5,00;555,63;15,00
30/09/2021 15:55;24,35;52,44;4,25;5,25;20,00;5,00;548,01;15,00
30/09/2021 16:00;24,58;52,35;4,50;5,50;20,00;5,00;545,76;15,00
30/09/2021 16:05;24,45;51,84;4,29;5,29;24,00;12,00;550,70;12,00
30/09/2021 16:10;24,60;52,67;4,62;5,62;20,00;10,00;558,04;10,00
30/09/2021 16:15;24,57;51,88;4,25;5,25;28,00;12,00;564,29;16,00
30/09/2021 16:20;24,43;51,91;4,43;5,43;25,00;10,00;565,51;15,00
30/09/2021 16:25;24,33;52,40;4,12;5,12;25,00;10,00;556,15;15,00
30/09/2021 16:30;24,58;52,88;4,62;5,62;25,00;10,00;540,28;15,00
30/09/2021 16:35;24,49;52,48;3,86;4,86;25,00;10,00;535,15;15,00
30/09/2021 16:40;24,57;54,44;4,12;5,12;25,00;10,00;517,47;15,00
30/09/2021 16:45;24,50;52,80;3,86;4,86;25,00;10,00;517,54;15,00
30/09/2021 16:50;24,54;54,63;3,62;4,62;25,00;10,00;516,13;15,00
30/09/2021 16:55;24,57;53,06;3,88;4,88;25,00;10,00;519,27;15,00
30/09/2021 17:00;24,58;52,85;3,43;4,43;39,00;19,00;514,59;20,00
30/09/2021 17:05;24,80;52,27;3,38;4,38;30,00;15,00;501,89;15,00
30/09/2021 17:10;24,97;51,90;3,25;4,25;30,00;15,00;491,62;15,00
30/09/2021 17:15;25,07;51,53;3,14;4,14;30,00;15,00;483,81;15,00
30/09/2021 17:20;25,14;51,14;3,50;4,50;30,00;15,00;481,01;15,00
30/09/2021 17:25;25,20;51,03;3,25;4,25;30,00;15,00;477,05;15,00
30/09/2021 17:30;25,23;50,76;3,43;4,43;30,00;15,00;475,59;15,00
30/09/2021 17:35;25,23;50,39;3,12;4,12;30,00;15,00;474,36;15,00
30/09/2021 17:40;25,21;50,27;3,00;4,00;30,00;15,00;472,96;15,00
30/09/2021 17:45;25,23;50,00;3,00;4,00;30,00;15,00;469,38;15,00
