01-10-2021 09:59:36 Se inicia el registro: logRestHopu
01-10-2021 09:59:37 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 09:59:37 Se graban todos los datos correctamente
01-10-2021 10:00:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:00:07 Se graban todos los datos correctamente
01-10-2021 10:00:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:00:37 Se graban todos los datos correctamente
01-10-2021 10:01:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:01:07 Se graban todos los datos correctamente
01-10-2021 10:01:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:01:37 Se graban todos los datos correctamente
01-10-2021 10:02:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:02:07 Se graban todos los datos correctamente
01-10-2021 10:02:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:02:37 Se graban todos los datos correctamente
01-10-2021 10:03:07 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:03:07 Se graban todos los datos correctamente
01-10-2021 10:03:37 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:03:37 Se graban todos los datos correctamente
01-10-2021 10:04:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:04:07 Se graban todos los datos correctamente
01-10-2021 10:04:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:04:37 Se graban todos los datos correctamente
01-10-2021 10:05:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:05:07 Se graban todos los datos correctamente
01-10-2021 10:05:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:05:37 Se graban todos los datos correctamente
01-10-2021 10:06:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:06:07 Se graban todos los datos correctamente
01-10-2021 10:06:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:06:37 Se graban todos los datos correctamente
01-10-2021 10:07:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:07:07 Se graban todos los datos correctamente
01-10-2021 10:07:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:07:37 Se graban todos los datos correctamente
01-10-2021 10:08:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:08:07 Se graban todos los datos correctamente
01-10-2021 10:08:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:08:37 Se graban todos los datos correctamente
01-10-2021 10:09:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:09:07 Se graban todos los datos correctamente
01-10-2021 10:09:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:09:37 Se graban todos los datos correctamente
01-10-2021 10:10:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:10:07 Se graban todos los datos correctamente
