02-10-2021 00:00:06 Se inicia el registro: logRestHopu
02-10-2021 00:00:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:00:07 Se graban todos los datos correctamente
02-10-2021 00:00:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:00:37 Se graban todos los datos correctamente
02-10-2021 00:01:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:01:07 Se graban todos los datos correctamente
02-10-2021 00:01:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:01:37 Se graban todos los datos correctamente
02-10-2021 00:02:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:02:07 Se graban todos los datos correctamente
02-10-2021 00:02:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:02:37 Se graban todos los datos correctamente
02-10-2021 00:03:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:03:07 Se graban todos los datos correctamente
02-10-2021 00:03:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:03:37 Se graban todos los datos correctamente
02-10-2021 00:04:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:04:07 Se graban todos los datos correctamente
02-10-2021 00:04:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:04:37 Se graban todos los datos correctamente
02-10-2021 00:05:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:05:07 Se graban todos los datos correctamente
02-10-2021 00:05:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:05:37 Se graban todos los datos correctamente
02-10-2021 00:06:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:06:07 Se graban todos los datos correctamente
02-10-2021 00:06:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:06:37 Se graban todos los datos correctamente
02-10-2021 00:07:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:07:07 Se graban todos los datos correctamente
02-10-2021 00:07:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:07:37 Se graban todos los datos correctamente
02-10-2021 00:08:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:08:07 Se graban todos los datos correctamente
02-10-2021 00:08:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:08:37 Se graban todos los datos correctamente
02-10-2021 00:09:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:09:07 Se graban todos los datos correctamente
02-10-2021 00:09:37 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:09:37 Se graban todos los datos correctamente
