time;Temperature;Humidity;PM25;PM10;CO2;
2021-11-23 12:35:00;-;-;4.00;5.00;-;
2021-11-23 12:30:00;23.44;48.05;5.30;6.30;594.54;
2021-11-23 12:25:00;23.37;47.99;4.00;5.00;581.15;
2021-11-23 12:20:00;23.33;48.16;4.30;5.30;570.87;
2021-11-23 12:15:00;23.30;48.13;4.20;5.20;550.42;
2021-11-23 12:10:00;23.23;48.22;5.20;6.20;545.65;
2021-11-23 12:05:00;23.21;48.41;4.50;5.50;545.33;
2021-11-23 12:00:00;23.17;48.65;3.60;4.60;514.59;
2021-11-23 11:55:00;23.13;48.90;3.70;4.70;514.88;
2021-11-23 11:50:00;23.10;49.05;3.50;4.50;506.85;
2021-11-23 11:45:00;23.09;49.48;3.70;4.70;511.14;
2021-11-23 11:40:00;23.04;49.67;3.30;4.30;531.94;
2021-11-23 11:35:00;23.01;49.59;3.40;4.40;508.52;
2021-11-23 11:30:00;22.95;49.89;2.80;3.80;506.52;
2021-11-23 11:25:00;22.91;49.79;2.70;3.70;472.55;
2021-11-23 11:20:00;22.89;50.11;3.00;4.00;472.23;
2021-11-23 11:15:00;22.87;50.44;2.40;3.40;470.94;
2021-11-23 11:10:00;22.84;50.26;2.70;3.70;469.34;
2021-11-23 11:05:00;22.87;50.29;2.50;3.50;488.24;
2021-11-23 11:00:00;22.82;51.27;3.10;4.10;498.87;
2021-11-23 10:55:00;22.79;51.55;2.90;3.90;487.59;
2021-11-23 10:50:00;22.75;51.69;3.90;4.90;470.73;
2021-11-23 10:45:00;22.73;51.70;2.80;3.80;460.81;
2021-11-23 10:40:00;22.66;52.05;2.80;3.80;457.51;
2021-11-23 10:35:00;22.61;52.34;3.40;4.40;444.97;
2021-11-23 10:30:00;22.52;52.41;2.80;3.80;430.44;
2021-11-23 10:25:00;22.46;52.36;2.90;3.90;427.05;
2021-11-23 10:20:00;22.42;52.58;2.50;3.50;418.11;
2021-11-23 10:15:00;22.36;52.80;2.60;3.60;414.06;
2021-11-23 10:10:00;22.29;53.13;2.30;3.30;411.44;
2021-11-23 10:05:00;22.17;53.53;2.56;3.56;389.67;
2021-11-23 10:00:00;22.13;53.47;2.30;3.30;383.73;
2021-11-23 09:55:00;22.06;53.74;1.40;2.40;364.44;
2021-11-23 09:50:00;21.96;54.05;1.30;2.30;352.69;
2021-11-23 09:45:00;21.91;54.58;1.20;2.20;322.76;
2021-11-23 09:40:00;-;-;1.00;2.00;-;
2021-11-22 11:55:00;22.97;55.91;7.25;8.25;737.43;
2021-11-22 11:50:00;22.95;55.88;7.00;8.00;718.22;
2021-11-22 11:45:00;22.89;55.74;7.13;8.13;663.77;
2021-11-22 11:40:00;22.89;55.77;6.25;7.25;690.92;
2021-11-22 11:35:00;22.86;56.31;5.43;6.43;712.42;
2021-11-22 11:30:00;22.79;56.50;5.43;6.43;652.65;
2021-11-22 11:25:00;22.77;56.39;5.00;6.00;667.95;
2021-11-22 11:20:00;22.69;56.62;3.14;4.14;681.75;
2021-11-22 11:15:00;22.63;56.59;3.00;4.00;650.50;
2021-11-22 11:10:00;22.56;56.73;2.50;3.50;645.35;
2021-11-22 11:05:00;22.47;56.70;2.00;3.00;635.21;
2021-11-22 11:00:00;22.40;56.99;1.13;2.13;619.32;
2021-11-22 10:55:00;22.34;57.14;1.43;2.43;623.74;
2021-11-22 10:50:00;22.25;56.95;1.00;2.00;594.42;
2021-11-22 10:45:00;22.20;57.17;1.38;2.38;571.03;
2021-11-22 10:40:00;22.11;57.44;1.43;2.43;559.27;
2021-11-22 10:35:00;22.05;57.91;1.00;2.00;596.74;
2021-11-22 10:30:00;21.96;58.24;1.00;2.00;614.52;
2021-11-22 10:25:00;21.91;58.33;1.14;2.14;601.48;
2021-11-22 10:20:00;21.85;58.44;1.13;2.13;591.58;
2021-11-22 10:15:00;21.77;58.51;1.13;2.13;584.76;
2021-11-22 10:10:00;21.67;58.77;1.14;2.14;585.96;
2021-11-22 10:05:00;21.57;59.19;0.88;1.88;570.30;
